"@""\\\\k'g'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k'(\w+)'"""	"@""\5"""	"@""\\\\k'g'"""
"@""a\\\\k'g'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k'(\w+)'"""	"@""\5"""	"@""a\\\\k'g'"""
"@""\k'g'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k'(\w+)'"""	"@""\5"""	"@""\5"""
"@""(?<n1-n2>)"""	"@""\(\?<[A-Za-z]\w*-[A-Za-z]\w*>.*\)"""	"""r"""	"""r"""
"@""(?'n1-n2'a)"""	"@""\(\?'[A-Za-z]\w*-[A-Za-z]\w*'.*\)"""	"""r"""	"""r"""
"@""\p{Isa}"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\\[pP]\{)Is(?=\w+\})"""	"""In"""	"@""\p{Ina}"""
"@""\p{Is}"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\\[pP]\{)Is(?=\w+\})"""	"""In"""	"@""\p{Is}"""
"@""\p{Isa"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\\[pP]\{)Is(?=\w+\})"""	"""In"""	"@""\p{Isa"""
"@""a(?#|)"""	"@""\(\?#[^\)]*\)"""	""""""	"""a"""
"@""(?#|)"""	"@""\(\?#[^\)]*\)"""	""""""	""""""
"@""(?#|)"""	"@""\#[^\n\r]*"""	""""""	"""(?"""
"@""(?inm-xs:\#)"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?[imsx]*n[-imsx]*:[^\)]+\)"""	"""r"""	"@""(r"""
"@""(?ni:())"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?[imsx]*n[-imsx]*:[^\)]+\)"""	"""r"""	"@""(r)"""
"@""(?x-i:)"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?[imsx]*n[-imsx]*:[^\)]+\)"""	"""r"""	"@""(?x-i:)"""
"@""(?n:))"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?[imsx]*n[-imsx]*:[^\)]+\)"""	"""r"""	"@""(?n:))"""
"@""(?<n1>)"""	"@""\(\?<[A-Za-z]\w*>.*\)"""	"""r"""	"""r"""
"@""(?'n1'y)"""	"@""\(\?'[A-Za-z]\w*'.*\)"""	"""r"""	"""r"""
"@""(?<45>y)"""	"@""\(\?<\d+>.*\)"""	"""r"""	"""r"""
"@""(?'7'o)"""	"@""\(\?'\d+'.*\)"""	"""r"""	"""r"""
"@""\\\("""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\\("""	"""r"""	"@""\\r"""
"@""a\\\("""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\\("""	"""r"""	"@""a\\r"""
"@""\\("""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\\("""	"""r"""	"@""\\("""
"@""a\\("""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\\("""	"""r"""	"@""a\\("""
"@""\("""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\\("""	"""r"""	"@""r"""
"@""a\("""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\\("""	"""r"""	"@""ar"""
"@""?:"""	"@""(?:^\?[:imnsx=!>-]|^\?<[!=])"""	"""r"""	"""r"""
"@""?<!"""	"@""(?:^\?[:imnsx=!>-]|^\?<[!=])"""	"""r"""	"""r"""
"@""?-"""	"@""(?:^\?[:imnsx=!>-]|^\?<[!=])"""	"""r"""	"""r"""
"@""\\(?<n>"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?<[A-Za-z]\w*>"""	"""r"""	"@""\\(r"""
"@""a\\(?'n'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?'[A-Za-z]\w*'"""	"""r"""	"@""a\\(r"""
"@""\\\\(?<2>"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?<\d+>"""	"""r"""	"@""\\\\(r"""
"@""(?'2'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823}\()\?'\d+'"""	"""r"""	"""(r"""
"@""\\[\b]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\\b(?=[^\[\]]*\])"""	"@""\\u0008"""	"@""\\[\\u0008]"""
"@""\\[a\bb]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\\b(?=[^\[\]]*\])"""	"@""\\u0008"""	"@""\\[a\\u0008b]"""
"@""\[\b]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\\b(?=[^\[\]]*\])"""	"@""\\u0008"""	"@""\[\b]"""
"@""\\[\\b]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\\b(?=[^\[\]]*\])"""	"@""\\u0008"""	"@""\\[\\b]"""
"@""\\[\\\b]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\\b(?=[^\[\]]*\])"""	"@""\\u0008"""	"@""\\[\\\\u0008]"""
"@""[[]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\[(?=[^\[\]]*\])"""	"@""\\["""	"@""[\\[]"""
"@""\[[]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\[(?=[^\[\]]*\])"""	"@""\\["""	"@""\[[]"""
"@""\\[\\[]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\[(?=[^\[\]]*\])"""	"@""\\["""	"@""\\[\\\\[]"""
"@""\\[\\\[]"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*(?:\[|\[[^\[\]]*[^\[\]\\])(?:[\\]{2})*)\[(?=[^\[\]]*\])"""	"@""\\["""	"@""\\[\\\[]"""
"@""\\{"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\{(?!\d\d*(,(\d\d*)?)?\})"""	"@""\\{"""	"@""\\\\{"""
"@""\\{"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\{(?!\d\d*(,(\d\d*)?)?\})"""	"@""\\{"""	"@""\\\\{"""
"@""\\{1,2}"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\{(?!\d\d*(,(\d\d*)?)?\})"""	"@""\\{"""	"@""\\{1,2}"""
"@""\\{1}"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\{(?!\d\d*(,(\d\d*)?)?\})"""	"@""\\{"""	"@""\\{1}"""
"@""\\{1,}"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\{(?!\d\d*(,(\d\d*)?)?\})"""	"@""\\{"""	"@""\\{1,}"""
"@""\{1"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\{(?!\d\d*(,(\d\d*)?)?\})"""	"@""\\{"""	"@""\{1"""
"@""\\}"""	"@""(?<!(\A|[^\\])(\\{2})*\{\d\d*(,(\d\d*)?)?)\}"""	"@""\\}"""	"@""\\\\}"""
"@""{\\}"""	"@""(?<!(\A|[^\\])(\\{2})*\{\d\d*(,(\d\d*)?)?)\}"""	"@""\\}"""	"@""{\\\\}"""
"@""{1,2}"""	"@""(?<!(\A|[^\\])(\\{2})*\{\d\d*(,(\d\d*)?)?)\}"""	"@""\\}"""	"@""{1,2}"""
"@""\\{1}"""	"@""(?<!(\A|[^\\])(\\{2})*\{\d\d*(,(\d\d*)?)?)\}"""	"@""\\}"""	"@""\\{1}"""
"@""\\{1\}"""	"@""(?<!(\A|[^\\])(\\{2})*\{\d\d*(,(\d\d*)?)?)\}"""	"@""\\}"""	"@""\\{1\\\}"""
"@""\{1}"""	"@""(?<!(\A|[^\\])(\\{2})*\{\d\d*(,(\d\d*)?)?)\}"""	"@""\\}"""	"@""\{1\\}"""
"@""{1,}"""	"@""(?<!(\A|[^\\])(\\{2})*\{\d\d*(,(\d\d*)?)?)\}"""	"@""\\}"""	"@""{1,}"""
"@""\0"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\\0(?!\d)"""	"@""\\u0000"""	"@""\\u0000"""
"@""\03"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\\0(?!\d)"""	"@""\\u0000"""	"@""\03"""
"@""\\0"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\\0(?!\d)"""	"@""\\u0000"""	"@""\\0"""
"@""\\\0a"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2})*)\\0(?!\d)"""	"@""\\u0000"""	"@""\\\\u0000a"""
"@""a(?<=b*c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""ar"""
"@""a(?<=b*c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""ar"""
"@""a(?<=b*c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""ar"""
"@""a(?<=b+c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""ar"""
"@""a(?<!b+c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""ar"""
"@""a(?<!b*c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""ar"""
"@""(?<!b{1}c))"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""(?<!b{1}c))"""
"@""(?<!b{1,}c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""r"""
"@""(?<!b{1,4}c)"""	"@""\(\?\<[=!][^\)]*(?:[\*\+]|\{\d+,\}).*\)"""	"@""r"""	"@""(?<!b{1,4}c)"""
"@""\p{Isa}"""	"@""(?<=\\[pP]\{)Is(?=\w+\})"""	"""In"""	"@""\p{Ina}"""
"@""\p{Is}"""	"@""(?<=\\[pP]\{)Is(?=\w+\})"""	"""In"""	"@""\p{Is}"""
"@""\p{Isa"""	"@""(?<=\\[pP]\{)Is(?=\w+\})"""	"""In"""	"@""\p{Isa"""
"@""a\3b"""	"@""\\(\d+)"""	"@""\5"""	"@""a\5b"""
"@""\3b"""	"@""\\(\d+)"""	"@""\5"""	"@""\5b"""
"@""\\3b"""	"@""(?<=\\)\\(\d)"""	"@""\5"""	"@""\\5b"""
"@""\\\3b"""	"@""(?<=\\\\)\\(\d)"""	"@""\5"""	"@""\\\5b"""
"@""a\\\\3b"""	"@""(?<=(\\){0,5})\\(\d)"""	"@""\5"""	"@""a\\\\5b"""
"@""\\\k<g>"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k<(\w)>"""	"@""\5"""	"@""\\\5"""
"@""a\\\k<g>"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k<(\w)>"""	"@""\5"""	"@""a\\\5"""
"@""\\\\k'g'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k'(\w)'"""	"@""\5"""	"@""\\\\k'g'"""
"@""a\\\\k'g'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k'(\w)'"""	"@""\5"""	"@""a\\\\k'g'"""
"@""\k'g'"""	"@""(?<=(?:\A|[^\\])(?:[\\]{2}){0,1073741823})\\k'(\w)'"""	"@""\5"""	"@""\5"""
"@""\\(?<={1}"""	"@""(\A|((\A|[^\\])([\\]{2})*\((\?([:>=!]|<([=!]|(\w+>))))?))\{\d+(,(\d+)?)?\}"""	"@""\5"""	"@""\5"""
"@""{1}"""	"@""(\A|((\A|[^\\])([\\]{2})*\((\?([:>=!]|<([=!]|(\w+>))))?))\{\d+(,(\d+)?)?\}"""	"@""r"""	"@""r"""
"@""({1}"""	"@""(\A|((\A|[^\\])([\\]{2})*\((\?([:>=!]|<([=!]|(\w+>))))?))\{\d+(,(\d+)?)?\}"""	"@""r"""	"@""r"""
"@""(?{1}"""	"@""(\A|((\A|[^\\])([\\]{2})*\((\?([:>=!]|<([=!]|(\w+>))))?))\{\d+(,(\d+)?)?\}"""	"@""r"""	"@""(?{1}"""
"@""(?:{1}"""	"@""(\A|((\A|[^\\])([\\]{2})*\((\?([:>=!]|<([=!]|(\w+>))))?))\{\d+(,(\d+)?)?\}"""	"@""r"""	"@""r"""
"@""\({1}"""	"@""(\A|((\A|[^\\])([\\]{2})*\((\?([:>=!]|<([=!]|(\w+>))))?))\{\d+(,(\d+)?)?\}"""	"@""r"""	"@""\({1}"""
