"""[^ \f]"""	"""cc{0-0x9 0xb 0xd-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \r]"""	"""cc{0-0x9 0xb-0xc 0xe-0x1f 0x21-0x10ffff}"""	"TestZeroFlags"
"""[^ \r]"""	"""cc{0-0x9 0xb-0xc 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::FoldCase"
"""[^ \r]"""	"""cc{0-0x9 0xb-0xc 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ \r]"""	"""cc{0-0x9 0xb-0xc 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \v]"""	"""cc{0-0x9 0xc-0x1f 0x21-0x10ffff}"""	"TestZeroFlags"
"""[^ \v]"""	"""cc{0-0x9 0xc-0x1f 0x21-0x10ffff}"""	"Regexp::FoldCase"
"""[^ \v]"""	"""cc{0-0x9 0xc-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ \v]"""	"""cc{0-0x9 0xc-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \t]"""	"""cc{0-0x8 0xb-0x1f 0x21-0x10ffff}"""	"TestZeroFlags"
"""[^ \t]"""	"""cc{0-0x8 0xb-0x1f 0x21-0x10ffff}"""	"Regexp::FoldCase"
"""[^ \t]"""	"""cc{0-0x8 0xb-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ \t]"""	"""cc{0-0x8 0xb-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \r\f\v]"""	"""cc{0-0x9 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ \r\f\v]"""	"""cc{0-0x9 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \r\f\t\v]"""	"""cc{0-0x8 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ \r\f\t\v]"""	"""cc{0-0x8 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \r\n\f\t\v]"""	"""cc{0-0x8 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ \r\n\f\t\v]"""	"""cc{0-0x8 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \r\n\f\t]"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ \r\n\f\t]"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^\t-\n\f-\r ]"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses"
"""[^\t-\n\f-\r ]"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses | Regexp::FoldCase"
"""[^\t-\n\f-\r ]"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses | Regexp::NeverNL"
"""[^\t-\n\f-\r ]"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses | Regexp::NeverNL | Regexp::FoldCase"
"""\\S"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses"
"""\\S"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses | Regexp::FoldCase"
"""\\S"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses | Regexp::NeverNL"
"""\\S"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	"Regexp::PerlClasses | Regexp::NeverNL | Regexp::FoldCase"
