"""\\Bfoo\\B"""	"""n foo xfoox that"""
"""a\\B"""	"""faoa x"""
"""\\Bbar"""	"""bar x"""
"""\\Bbar"""	"""foo\nbar x"""
"""bar\\B"""	"""foobar"""
"""bar\\B"""	"""foobar\nxxx"""
"""(foo|bar|[A-Z])\\B"""	"""foox"""
"""(foo|bar|[A-Z])\\B"""	"""foo\n"""
"""\\B"""	""""""
"""\\B"""	"""x"""
"""\\B(foo|bar|[A-Z])"""	"""foo"""
"""\\B(foo|bar|[A-Z])\\B"""	"""xXy"""
"""\\B(foo|bar|[A-Z])\\B"""	"""XY"""
"""\\B(foo|bar|[A-Z])\\B"""	"""XYZ"""
"""\\B(foo|bar|[A-Z])\\B"""	"""abara"""
"""\\B(foo|bar|[A-Z])\\B"""	"""xfoo_"""
"""\\B(foo|bar|[A-Z])\\B"""	"""xfoo\n"""
"""\\B(foo|bar|[A-Z])\\B"""	"""foo bar vNx"""
"""\\B(fo|foo)\\B"""	"""xfoo"""
"""\\B(foo|fo)\\B"""	"""xfooo"""
"""\\B\\B"""	""""""
"""\\B\\B"""	"""x"""
"""\\B$"""	""""""
"""\\B$"""	"""x"""
"""\\B$"""	"""y x"""
"""\\B.$"""	"""x"""
"""^\\B(fo|foo)\\B"""	"""fo"""
"""^\\B(fo|foo)\\B"""	"""foo"""
"""^\\B"""	""""""
"""^\\B"""	"""x"""
"""^\\B\\B"""	""""""
"""^\\B\\B"""	"""x"""
"""^\\B$"""	""""""
"""^\\B$"""	"""x"""
"""^\\B.$"""	"""x"""
"""^\\B.\\B$"""	"""x"""
"""^^^^^^^^\\B$$$$$$$"""	""""""
"""^^^^^^^^\\B.$$$$$$"""	"""x"""
"""^^^^^^^^\\B$$$$$$$"""	"""x"""
"""\\bx\\b"""	"""x"""
"""\\bx\\b"""	"""x>"""
"""\\bx\\b"""	"""<x"""
"""\\bx\\b"""	"""<x>"""
"""\\bx\\b"""	"""ax"""
"""\\bx\\b"""	"""xb"""
"""\\bx\\b"""	"""axb"""
"""\\bx\\b"""	"""«x"""
"""\\bx\\b"""	"""x»"""
"""\\bx\\b"""	"""«x»"""
"""\\bx\\b"""	"""axb"""
"""\\bx\\b"""	"""áxβ"""
"""\\Bx\\B"""	"""axb"""
"""\\Bx\\B"""	"""áxβ"""
"""^$^$"""	""""""
"""^$^"""	""""""
"""$^$"""	""""""
"""^$^$"""	"""x"""
"""^$^"""	"""x"""
"""$^$"""	"""x"""
"""^$^$"""	"""x\ny"""
"""^$^"""	"""x\ny"""
"""$^$"""	"""x\ny"""
"""^$^$"""	"""x\n\ny"""
"""^$^"""	"""x\n\ny"""
"""$^$"""	"""x\n\ny"""
"""^(foo\\$)$"""	"""foo$bar"""
"""(foo\\$)"""	"""foo$bar"""
"""^...$"""	"""abc"""
"""^\xe6\x9c\xac$"""	"""\xe6\x9c\xac"""
"""^...$"""	"""\xe6\x97\xa5\xe6\x9c\xac\xe8\xaa\x9e"""
"""^...$"""	""".\xe6\x9c\xac."""
"""^\\C\\C\\C$"""	"""\xe6\x9c\xac"""
"""^\\C$"""	"""\xe6\x9c\xac"""
"""^\\C\\C\\C$"""	"""\xe6\x97\xa5\xe6\x9c\xac\xe8\xaa\x9e"""
"""^...$"""	"""\xe6\x97\xa5\xe6\x9c\xac\xe8\xaa\x9e"""
"""^.........$"""	"""\xe6\x97\xa5\xe6\x9c\xac\xe8\xaa\x9e"""
"""^...$"""	""".\xe6\x9c\xac."""
"""^.....$"""	""".\xe6\x9c\xac."""
"""\\B(fo|foo)\\B"""	"""xfooo"""
"""(fo|foo)"""	"""foo"""
"""\\141"""	"""a"""
"""\\060"""	"""0"""
"""\\0600"""	"""00"""
"""\\608"""	"""08"""
"""\\01"""	"""\01"""
"""\\018"""	"""\01"" ""8"""
"""\\x{61}"""	"""a"""
"""\\x61"""	"""a"""
"""\\x{00000061}"""	"""a"""
"""\\p{Greek}+"""	"""aαβb"""
"""\\P{Greek}+"""	"""aαβb"""
"""\\p{^Greek}+"""	"""aαβb"""
"""\\P{^Greek}+"""	"""aαβb"""
"""[^0-9]+"""	"""abc123"""
"""\\p{Nd}+"""	"""abc123²³¼½¾₀₉"""
"""\\p{^Nd}+"""	"""abc123²³¼½¾₀₉"""
"""\\P{Nd}+"""	"""abc123²³¼½¾₀₉"""
"""\\P{^Nd}+"""	"""abc123²³¼½¾₀₉"""
"""\\pN+"""	"""abc123²³¼½¾₀₉"""
"""\\p{N}+"""	"""abc123²³¼½¾₀₉"""
"""\\p{^N}+"""	"""abc123²³¼½¾₀₉"""
"""\\p{Any}+"""	"""abc123"""
"""(?i)[@-A]+"""	"""@AaB"""
"""(?i)[A-Z]+"""	"""aAzZ"""
"""(?i)[^\\\\]+"""	"""Aa\\"""
"""(?i)[\\\\]+"""	"""Aa"""
"""(?i)[acegikmoqsuwy]+"""	"""acegikmoqsuwyACEGIKMOQSUWY"""
"""[@-A]+"""	"""@AaB"""
"""[A-Z]+"""	"""aAzZ"""
"""[^\\\\]+"""	"""Aa\\"""
"""[acegikmoqsuwy]+"""	"""acegikmoqsuwyACEGIKMOQSUWY"""
"""^abc"""	"""abcdef"""
"""^abc"""	"""aabcdef"""
"""^[ay]*[bx]+c"""	"""abcdef"""
"""^[ay]*[bx]+c"""	"""aabcdef"""
"""def$"""	"""abcdef"""
"""def$"""	"""abcdeff"""
"""d[ex][fy]$"""	"""abcdef"""
"""d[ex][fy]$"""	"""abcdeff"""
"""[dz][ex][fy]$"""	"""abcdef"""
"""[dz][ex][fy]$"""	"""abcdeff"""
"""(?m)^abc"""	"""abcdef"""
"""(?m)^abc"""	"""aabcdef"""
"""(?m)^[ay]*[bx]+c"""	"""abcdef"""
"""(?m)^[ay]*[bx]+c"""	"""aabcdef"""
"""(?m)def$"""	"""abcdef"""
"""(?m)def$"""	"""abcdeff"""
"""(?m)d[ex][fy]$"""	"""abcdef"""
"""(?m)d[ex][fy]$"""	"""abcdeff"""
"""(?m)[dz][ex][fy]$"""	"""abcdef"""
"""(?m)[dz][ex][fy]$"""	"""abcdeff"""
"""^"""	"""a"""
"""^^"""	"""a"""
"""a"""	"""a"""
"""ab*"""	"""a"""
"""a\\C*"""	"""a"""
"""a\\C+"""	"""a"""
"""a\\C?"""	"""a"""
"""a\\C*?"""	"""a"""
"""a\\C+?"""	"""a"""
"""a\\C??"""	"""a"""
"""a\\C*|ba\\C"""	"""baba"""
"""\\w*I\\w*"""	"""Inc."""
