"""ab|cd""";"""abc""";"""y""";"""$&""";"""ab"""
"""ab|cd""";"""abcd""";"""y""";"""$&""";"""ab"""
"""()ef""";"""def""";"""y""";"""$&-$1""";"""ef-"""
"""()*""";"""-""";"""y""";"""-""";"""-"""
"""*a""";"""-""";"""c""";"""-""";"""-"""
"""^*""";"""-""";"""y""";"""-""";"""-"""
"""$*""";"""-""";"""y""";"""-""";"""-"""
"""(*)b""";"""-""";"""c""";"""-""";"""-"""
"""$b""";"""b""";"""n""";"""-""";"""-"""
"""a\\""";"""-""";"""c""";"""-""";"""-"""
"""a\\(b""";"""a(b""";"""y""";"""$&-$1""";"""a(b-"""
"""a\\(*b""";"""ab""";"""y""";"""$&""";"""ab"""
"""a\\(*b""";"""a((b""";"""y""";"""$&""";"""a((b"""
"""a\\\\b""";"""a\\b""";"""y""";"""$&""";"""a\\b"""
"""abc)""";"""-""";"""c""";"""-""";"""-"""
"""(abc""";"""-""";"""c""";"""-""";"""-"""
"""((a))""";"""abc""";"""y""";"""$&-$1-$2""";"""a-a-a"""
"""(a)b(c)""";"""abc""";"""y""";"""$&-$1-$2""";"""abc-a-c"""
"""a+b+c""";"""aabbabc""";"""y""";"""$&""";"""abc"""
"""a**""";"""-""";"""c""";"""-""";"""-"""
"""a*?a""";"""aa""";"""y""";"""$&""";"""a"""
"""(a*)*""";"""aaa""";"""y""";"""-""";"""-"""
"""(a*)+""";"""aaa""";"""y""";"""-""";"""-"""
"""(a|)*""";"""-""";"""y""";"""-""";"""-"""
"""(a*|b)*""";"""aabb""";"""y""";"""-""";"""-"""
"""(a|b)*""";"""ab""";"""y""";"""$&-$1""";"""ab-b"""
"""(a+|b)*""";"""ab""";"""y""";"""$&-$1""";"""ab-b"""
"""(a+|b)+""";"""ab""";"""y""";"""$&-$1""";"""ab-b"""
"""(a+|b)?""";"""ab""";"""y""";"""$&-$1""";"""a-a"""
"""[^ab]*""";"""cde""";"""y""";"""$&""";"""cde"""
"""(^)*""";"""-""";"""y""";"""-""";"""-"""
"""(ab|)*""";"""-""";"""y""";"""-""";"""-"""
""")(""";"""-""";"""c""";"""-""";"""-"""
"""""";"""abc""";"""y""";"""$&""";""""""
"""abc""";"""""";"""n""";"""-""";"""-"""
"""a*""";"""""";"""y""";"""$&""";""""""
"""([abc])*d""";"""abbbcd""";"""y""";"""$&-$1""";"""abbbcd-c"""
"""([abc])*bcd""";"""abcd""";"""y""";"""$&-$1""";"""abcd-a"""
"""a|b|c|d|e""";"""e""";"""y""";"""$&""";"""e"""
"""(a|b|c|d|e)f""";"""ef""";"""y""";"""$&-$1""";"""ef-e"""
"""((a*|b))*""";"""aabb""";"""y""";"""-""";"""-"""
"""abcd*efg""";"""abcdefg""";"""y""";"""$&""";"""abcdefg"""
"""ab*""";"""xabyabbbz""";"""y""";"""$&""";"""ab"""
"""ab*""";"""xayabbbz""";"""y""";"""$&""";"""a"""
"""(ab|cd)e""";"""abcde""";"""y""";"""$&-$1""";"""cde-cd"""
"""[abhgefdc]ij""";"""hij""";"""y""";"""$&""";"""hij"""
"""^(ab|cd)e""";"""abcde""";"""n""";"""x$1y""";"""xy"""
"""(abc|)ef""";"""abcdef""";"""y""";"""$&-$1""";"""ef-"""
"""(a|b)c*d""";"""abcd""";"""y""";"""$&-$1""";"""bcd-b"""
"""(ab|ab*)bc""";"""abc""";"""y""";"""$&-$1""";"""abc-a"""
"""a([bc]*)c*""";"""abc""";"""y""";"""$&-$1""";"""abc-bc"""
"""a([bc]*)(c*d)""";"""abcd""";"""y""";"""$&-$1-$2""";"""abcd-bc-d"""
"""a([bc]+)(c*d)""";"""abcd""";"""y""";"""$&-$1-$2""";"""abcd-bc-d"""
"""a([bc]*)(c+d)""";"""abcd""";"""y""";"""$&-$1-$2""";"""abcd-b-cd"""
"""a[bcd]*dcdcde""";"""adcdcde""";"""y""";"""$&""";"""adcdcde"""
"""a[bcd]+dcdcde""";"""adcdcde""";"""n""";"""-""";"""-"""
"""(ab|a)b*c""";"""abc""";"""y""";"""$&-$1""";"""abc-ab"""
"""((a)(b)c)(d)""";"""abcd""";"""y""";"""$1-$2-$3-$4""";"""abc-a-b-d"""
"""[a-zA-Z_][a-zA-Z0-9_]*""";"""alpha""";"""y""";"""$&""";"""alpha"""
"""^a(bc+|b[eh])g|.h$""";"""abh""";"""y""";"""$&-$1""";"""bh-"""
"""(bc+d$|ef*g.|h?i(j|k))""";"""effgz""";"""y""";"""$&-$1-$2""";"""effgz-effgz-"""
"""(bc+d$|ef*g.|h?i(j|k))""";"""ij""";"""y""";"""$&-$1-$2""";"""ij-ij-j"""
"""(bc+d$|ef*g.|h?i(j|k))""";"""effg""";"""n""";"""-""";"""-"""
"""(bc+d$|ef*g.|h?i(j|k))""";"""bcdd""";"""n""";"""-""";"""-"""
"""(bc+d$|ef*g.|h?i(j|k))""";"""reffgz""";"""y""";"""$&-$1-$2""";"""effgz-effgz-"""
"""(((((((((a)))))))))""";"""a""";"""y""";"""$&""";"""a"""
"""multiple words of text""";"""uh-uh""";"""n""";"""-""";"""-"""
"""multiple words""";"""multiple words, yeah""";"""y""";"""$&""";"""multiple words"""
"""(.*)c(.*)""";"""abcde""";"""y""";"""$&-$1-$2""";"""abcde-ab-de"""
"""\\((.*), (.*)\\)""";"""(a, b)""";"""y""";"""($2, $1)""";"""(b, a)"""
"""abcd""";"""abcd""";"""y""";"""$&-&-$$$&""";"""abcd-&-$abcd"""
"""a(bc)d""";"""abcd""";"""y""";"""$1-$$1-$$$1""";"""bc-$1-$bc"""
"""[k]""";"""ab""";"""n""";"""-""";"""-"""
"""[ -~]*""";"""abc""";"""y""";"""$&""";"""abc"""
"""[ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc"""
"""[ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc"""
"""[ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc"""
"""[ -~ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc"""
"""[ -~ -~ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc"""
"""[ -~ -~ -~ -~ -~ -~ -~]*""";"""abc""";"""y""";"""$&""";"""abc"""
"""a{2}""";"""candy""";"""n""";"""""";""""""
"""a{2}""";"""caandy""";"""y""";"""$&""";"""aa"""
"""a{2}""";"""caaandy""";"""y""";"""$&""";"""aa"""
"""a{2,}""";"""candy""";"""n""";"""""";""""""
"""a{2,}""";"""caandy""";"""y""";"""$&""";"""aa"""
"""a{2,}""";"""caaaaaandy""";"""y""";"""$&""";"""aaaaaa"""
"""a{1,3}""";"""cndy""";"""n""";"""""";""""""
"""a{1,3}""";"""candy""";"""y""";"""$&""";"""a"""
"""a{1,3}""";"""caandy""";"""y""";"""$&""";"""aa"""
"""a{1,3}""";"""caaaaaandy""";"""y""";"""$&""";"""aaa"""
"""e?le?""";"""angel""";"""y""";"""$&""";"""el"""
"""e?le?""";"""angle""";"""y""";"""$&""";"""le"""
"""\\bn\\w""";"""noonday""";"""y""";"""$&""";"""no"""
"""\\wy\\b""";"""possibly yesterday""";"""y""";"""$&""";"""ly"""
"""\\w\\Bn""";"""noonday""";"""y""";"""$&""";"""on"""
"""y\\B\\w""";"""possibly yesterday""";"""y""";"""$&""";"""ye"""
"""\\cJ""";"""abc\ndef""";"""y""";"""$&""";"""\n"""
"""\\d""";"""B2 is""";"""y""";"""$&""";"""2"""
"""\\D""";"""B2 is""";"""y""";"""$&""";"""B"""
"""\\s\\w*""";"""foo bar""";"""y""";"""$&""";""" bar"""
"""\\S\\w*""";"""foo bar""";"""y""";"""$&""";"""foo"""
"""abc""";"""ababc""";"""y""";"""$&""";"""abc"""
"""apple(,)\\sorange\\1""";"""apple, orange, cherry, peach""";"""y""";"""$&""";"""apple, orange,"""
"""(\\w+)\\s(\\w+)""";"""John Smith""";"""y""";"""$2, $1""";"""Smith, John"""
"""\\n\\f\\r\\t\\v""";"""abc\n\f\r\t\vdef""";"""y""";"""$&""";"""\n\f\r\t\v"""
""".*c""";"""abcde""";"""y""";"""$&""";"""abc"""
"""^\\w+((;|=)\\w+)+$""";"""some=host=tld""";"""y""";"""$&-$1-$2""";"""some=host=tld-=tld-="""
"""^\\w+((\\.|-)\\w+)+$""";"""some.host.tld""";"""y""";"""$&-$1-$2""";"""some.host.tld-.tld-."""
"""q(a|b)*q""";"""xxqababqyy""";"""y""";"""$&-$1""";"""qababq-b"""
"""^(a)(b){0,1}(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b cc"""
"""^(a)((b){0,1})(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b b"""
"""^(a)(b)?(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b cc"""
"""^(a)((b)?)(c*)""";"""abcc""";"""y""";"""$1 $2 $3""";"""a b b"""
"""^(a)(b){0,1}(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  cc"""
"""^(a)((b){0,1})(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  """
"""^(a)(b)?(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  cc"""
"""^(a)((b)?)(c*)""";"""acc""";"""y""";"""$1 $2 $3""";"""a  """
"""(?:ab){3}""";"""_abababc""";"""y""";"""$&-$1""";"""ababab-"""
"""(?:a(?:x)?)+""";"""aaxaxx""";"""y""";"""$&-$1-$2""";"""aaxax--"""
"`\W\w\W`";"""aa b!ca""";"""y""";"""$&""";""" b!"""
"""(?:a{2,4}b{1,3}){1,2}""";"""aaabaaaabbb""";"""y""";"""$&""";"""aaabaaaabbb"""
"""(?:a{2,4}b{1,3}){1,2}?""";"""aaabaaaabbb""";"""y""";"""$&""";"""aaab"""
"""(abc)|(edf)|(xyz)""";"""xyz""";"""y""";"""$1-$2-$3""";"""--xyz"""
"""(?P<q>\\d+)/(?P<d>\\d+)""";"""2/3""";"""y""";"""${d}/${q}""";"""3/2"""
"""[a-z--d-f]""";""" dfa""";"""y""";"""$&""";"""a"""
"""[abc[pq--acq]]{2}""";"""bqpaca""";"""y""";"""$&""";"""pa"""
"""[a-z9&&abc0-9]{3}""";"""z90a0abc""";"""y""";"""$&""";"""abc"""
"""[0-9a-f~~0-5a-z]{2}""";"""g0a58x""";"""y""";"""$&""";"""8x"""
"""[abc[pq]xyz[rs]]{4}""";"""cqxr""";"""y""";"""$&""";"""cqxr"""
"""[abcdf--[ab&&[bcd]][acd]]""";"""abcdefgh""";"""y""";"""$&""";"""f"""
"""[a-c||d-f]+""";"""abcdef""";"""y""";"""$&""";"""abcdef"""
"""[a-f--a-c]+""";"""abcdef""";"""y""";"""$&""";"""def"""
"""[a-c&&b-f]+""";"""abcdef""";"""y""";"""$&""";"""bc"""
"""[a-c~~b-f]+""";"""abcdef""";"""y""";"""$&""";"""a"""
"`\P{Inlatin1suppl ement}`";"""\u00c2!""";"""y""";"""$&""";"""!"""
"`\p{InLatin-1 Supplement}\p{in-mathematical-operators}\P{Inlatin1suppl ement}`";"""\u00c2\u2200\u00c3\u2203.""";"""y""";"""$&""";"""\u00c3\u2203."""
"`[-+*/\p{in-mathematical-operators}]{2}`";"""a+\u2212""";"""y""";"""$&""";"""+\u2212"""
"`\p{Ll}+`";"""XabcD""";"""y""";"""$&""";"""abc"""
"`\p{Lu}+`";"""абвГДЕ""";"""y""";"""$&""";"""ГДЕ"""
"`^\p{Currency Symbol}\p{Sc}`";"""$₤""";"""y""";"""$&""";"""$₤"""
"`\p{Common}\p{Thai}`";"""!ฆ""";"""y""";"""$&""";"""!ฆ"""
"`[\d\s]*\D`";"""12 \t3\U00001680\u0F20_2""";"""y""";"""$&""";"""12 \t3\U00001680\u0F20_"""
"`[c-wф]фф`";"""ффф""";"""y""";"""$&""";"""ффф"""
